!I	¡	INVERTED EXCLAMATION MARK
Ct	¢	[CURR] CENT SIGN
n+	ن	ARABIC LETTER NOON
h+	ه	ARABIC LETTER HEH
w+	و	ARABIC LETTER WAW
j+	ى	ARABIC LETTER ALEF MAKSURA
y+	ي	ARABIC LETTER YEH
:+	ً	ARABIC FATHATAN
"+	ٌ	ARABIC DAMMATAN
=+	ٍ	ARABIC KASRATAN
/+	َ	ARABIC FATHA
'+	ُ	ARABIC DAMMA
1+	ِ	ARABIC KASRA
3+	ّ	ARABIC SHADDA
0+	ْ	ARABIC SUKUN
aS	ٰ	ARABIC LETTER SUPERSCRIPT ALEF
p+	پ	ARABIC LETTER PEH
v+	ڤ	ARABIC LETTER VEH
gf	گ	ARABIC LETTER GAF

0a	۰	EXTENDED ARABIC-INDIC DIGIT ZERO
1a	۱	EXTENDED ARABIC-INDIC DIGIT ONE
2a	۲	EXTENDED ARABIC-INDIC DIGIT TWO
3a	۳	EXTENDED ARABIC-INDIC DIGIT THREE
4a	۴	EXTENDED ARABIC-INDIC DIGIT FOUR
5a	۵	EXTENDED ARABIC-INDIC DIGIT FIVE
6a	۶	EXTENDED ARABIC-INDIC DIGIT SIX
7a	۷	EXTENDED ARABIC-INDIC DIGIT SEVEN
8a	۸	EXTENDED ARABIC-INDIC DIGIT EIGHT
9a	۹	EXTENDED ARABIC-INDIC DIGIT NINE

B.	Ḃ	LATIN CAPITAL LETTER B WITH DOT ABOVE
b.	ḃ	LATIN SMALL LETTER B WITH DOT ABOVE
B_	Ḇ	LATIN CAPITAL LETTER B WITH LINE BELOW
b_	ḇ	LATIN SMALL LETTER B WITH LINE BELOW
D.	Ḋ	LATIN CAPITAL LETTER D WITH DOT ABOVE
d.	ḋ	LATIN SMALL LETTER D WITH DOT ABOVE
D_	Ḏ	LATIN CAPITAL LETTER D WITH LINE BELOW
d_	ḏ	LATIN SMALL LETTER D WITH LINE BELOW
D,	Ḑ	LATIN CAPITAL LETTER D WITH CEDILLA
d,	ḑ	LATIN SMALL LETTER D WITH CEDILLA
F.	Ḟ	LATIN CAPITAL LETTER F WITH DOT ABOVE
f.	ḟ	LATIN SMALL LETTER F WITH DOT ABOVE
G-	Ḡ	LATIN CAPITAL LETTER G WITH MACRON
g-	ḡ	LATIN SMALL LETTER G WITH MACRON
H.	Ḣ	LATIN CAPITAL LETTER H WITH DOT ABOVE
h.	ḣ	LATIN SMALL LETTER H WITH DOT ABOVE
H:	Ḧ	LATIN CAPITAL LETTER H WITH DIAERESIS
h:	ḧ	LATIN SMALL LETTER H WITH DIAERESIS
H,	Ḩ	LATIN CAPITAL LETTER H WITH CEDILLA
h,	ḩ	LATIN SMALL LETTER H WITH CEDILLA
K'	Ḱ	LATIN CAPITAL LETTER K WITH ACUTE
k'	ḱ	LATIN SMALL LETTER K WITH ACUTE
K_	Ḵ	LATIN CAPITAL LETTER K WITH LINE BELOW
k_	ḵ	LATIN SMALL LETTER K WITH LINE BELOW
L_	Ḻ	LATIN CAPITAL LETTER L WITH LINE BELOW
l_	ḻ	LATIN SMALL LETTER L WITH LINE BELOW
M'	Ḿ	LATIN CAPITAL LETTER M WITH ACUTE
m'	ḿ	LATIN SMALL LETTER M WITH ACUTE
M.	Ṁ	LATIN CAPITAL LETTER M WITH DOT ABOVE
m.	ṁ	LATIN SMALL LETTER M WITH DOT ABOVE
N.	Ṅ	LATIN CAPITAL LETTER N WITH DOT ABOVE
n.	ṅ	LATIN SMALL LETTER N WITH DOT ABOVE
N_	Ṉ	LATIN CAPITAL LETTER N WITH LINE BELOW
n_	ṉ	LATIN SMALL LETTER N WITH LINE BELOW
P'	Ṕ	LATIN CAPITAL LETTER P WITH ACUTE
p'	ṕ	LATIN SMALL LETTER P WITH ACUTE
P.	Ṗ	LATIN CAPITAL LETTER P WITH DOT ABOVE
p.	ṗ	LATIN SMALL LETTER P WITH DOT ABOVE
R.	Ṙ	LATIN CAPITAL LETTER R WITH DOT ABOVE
r.	ṙ	LATIN SMALL LETTER R WITH DOT ABOVE
R_	Ṟ	LATIN CAPITAL LETTER R WITH LINE BELOW
r_	ṟ	LATIN SMALL LETTER R WITH LINE BELOW
S.	Ṡ	LATIN CAPITAL LETTER S WITH DOT ABOVE
s.	ṡ	LATIN SMALL LETTER S WITH DOT ABOVE
T.	Ṫ	LATIN CAPITAL LETTER T WITH DOT ABOVE
t.	ṫ	LATIN SMALL LETTER T WITH DOT ABOVE
T_	Ṯ	LATIN CAPITAL LETTER T WITH LINE BELOW
t_	ṯ	LATIN SMALL LETTER T WITH LINE BELOW
V?	Ṽ	LATIN CAPITAL LETTER V WITH TILDE
v?	ṽ	LATIN SMALL LETTER V WITH TILDE
W!	Ẁ	LATIN CAPITAL LETTER W WITH GRAVE
w!	ẁ	LATIN SMALL LETTER W WITH GRAVE
W'	Ẃ	LATIN CAPITAL LETTER W WITH ACUTE
w'	ẃ	LATIN SMALL LETTER W WITH ACUTE
W:	Ẅ	LATIN CAPITAL LETTER W WITH DIAERESIS
w:	ẅ	LATIN SMALL LETTER W WITH DIAERESIS
W.	Ẇ	LATIN CAPITAL LETTER W WITH DOT ABOVE
w.	ẇ	LATIN SMALL LETTER W WITH DOT ABOVE
X.	Ẋ	LATIN CAPITAL LETTER X WITH DOT ABOVE
x.	ẋ	LATIN SMALL LETTER X WITH DOT ABOVE
X:	Ẍ	LATIN CAPITAL LETTER X WITH DIAERESIS
x:	ẍ	LATIN SMALL LETTER X WITH DIAERESIS
Y.	Ẏ	LATIN CAPITAL LETTER Y WITH DOT ABOVE
y.	ẏ	LATIN SMALL LETTER Y WITH DOT ABOVE
Z>	Ẑ	LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
z>	ẑ	LATIN SMALL LETTER Z WITH CIRCUMFLEX
Z_	Ẕ	LATIN CAPITAL LETTER Z WITH LINE BELOW
z_	ẕ	LATIN SMALL LETTER Z WITH LINE BELOW
h_	ẖ	LATIN SMALL LETTER H WITH LINE BELOW
t:	ẗ	LATIN SMALL LETTER T WITH DIAERESIS
w0	ẘ	LATIN SMALL LETTER W WITH RING ABOVE
y0	ẙ	LATIN SMALL LETTER Y WITH RING ABOVE
A2	Ả	LATIN CAPITAL LETTER A WITH HOOK ABOVE
a2	ả	LATIN SMALL LETTER A WITH HOOK ABOVE
E2	Ẻ	LATIN CAPITAL LETTER E WITH HOOK ABOVE
e2	ẻ	LATIN SMALL LETTER E WITH HOOK ABOVE
E?	Ẽ	LATIN CAPITAL LETTER E WITH TILDE
e?	ẽ	LATIN SMALL LETTER E WITH TILDE
I2	Ỉ	LATIN CAPITAL LETTER I WITH HOOK ABOVE
i2	ỉ	LATIN SMALL LETTER I WITH HOOK ABOVE
O2	Ỏ	LATIN CAPITAL LETTER O WITH HOOK ABOVE
o2	ỏ	LATIN SMALL LETTER O WITH HOOK ABOVE
U2	Ủ	LATIN CAPITAL LETTER U WITH HOOK ABOVE
u2	ủ	LATIN SMALL LETTER U WITH HOOK ABOVE
Y!	Ỳ	LATIN CAPITAL LETTER Y WITH GRAVE
y!	ỳ	LATIN SMALL LETTER Y WITH GRAVE
Y2	Ỷ	LATIN CAPITAL LETTER Y WITH HOOK ABOVE
y2	ỷ	LATIN SMALL LETTER Y WITH HOOK ABOVE
Y?	Ỹ	LATIN CAPITAL LETTER Y WITH TILDE
y?	ỹ	LATIN SMALL LETTER Y WITH TILDE

;'	ἀ	GREEK SMALL LETTER ALPHA WITH PSILI
,'	ἁ	GREEK SMALL LETTER ALPHA WITH DASIA
;!	ἂ	GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA
,!	ἃ	GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA
?;	ἄ	GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
?,	ἅ	GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
!:	ἆ	GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI
?:	ἇ	GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI

1N	 	[PUNCT] EN SPACE
1M	 	[PUNCT] EM SPACE
3M	 	[PUNCT] THREE-PER-EM SPACE
4M	 	[PUNCT] FOUR-PER-EM SPACE
6M	 	[PUNCT] SIX-PER-EM SPACE
1T	 	[PUNCT] THIN SPACE
1H	 	[PUNCT] HAIR SPACE
-1	‐	[PUNCT] HYPHEN
-N	–	[PUNCT] EN DASH
-M	—	[PUNCT] EM DASH
-3	―	[PUNCT] HORIZONTAL BAR
!2	‖	[PUNCT] DOUBLE VERTICAL LINE
=2	‗	[PUNCT] DOUBLE LOW LINE
'6	‘	[PUNCT] LEFT SINGLE QUOTATION MARK
'9	’	[PUNCT] RIGHT SINGLE QUOTATION MARK
.9	‚	[PUNCT] SINGLE LOW-9 QUOTATION MARK
9'	‛	[PUNCT] SINGLE HIGH-REVERSED-9 QUOTATION MARK
"6	“	[PUNCT] LEFT DOUBLE QUOTATION MARK
"9	”	[PUNCT] RIGHT DOUBLE QUOTATION MARK
:9	„	[PUNCT] DOUBLE LOW-9 QUOTATION MARK
9"	‟	[PUNCT] DOUBLE HIGH-REVERSED-9 QUOTATION MARK
/-	†	[PUNCT] DAGGER
/=	‡	[PUNCT] DOUBLE DAGGER
..	‥	[PUNCT] TWO DOT LEADER
Hs	…	[PUNCT] HORIZONTAL ELLIPSIS
Hp	‧	[PUNCT] HYPHENATION POINT
%0	‰	[PUNCT] PER MILLE SIGN
1'	′	[PUNCT] PRIME
2'	″	[PUNCT] DOUBLE PRIME
3'	‴	[PUNCT] TRIPLE PRIME
1"	‵	[PUNCT] REVERSED PRIME
2"	‶	[PUNCT] REVERSED DOUBLE PRIME
3"	‷	[PUNCT] REVERSED TRIPLE PRIME
Ca	‸	[PUNCT] CARET
<1	‹	[PUNCT] SINGLE LEFT-POINTING ANGLE QUOTATION MARK
>1	›	[PUNCT] SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
:X	※	[PUNCT] REFERENCE MARK
'-	‾	[PUNCT] OVERLINE
*m	⁂	[PUNCT] ASTERISM
/f	⁄	[PUNCT] FRACTION SLASH
tt	⁊	[PUNCT] TIRONIAN SIGN ET
rp	⁋	[PUNCT] REVERSED PILCROW SIGN
lb	⁌	[PUNCT] BLACK LEFTWARDS BULLET
rb	⁍	[PUNCT] BLACK RIGHTWARDS BULLET
*v	⁑	[PUNCT] TWO ASTERISKS ALIGNED VERTICALLY
4d	⁘	[PUNCT] FOUR DOT PUNCTUATION
5d	⁙	[PUNCT] FIVE DOT PUNCTUATION
2d	⁚	[PUNCT] TWO DOT PUNCTUATION
4m	⁛	[PUNCT] FOUR DOT MARK
3o	⁝	[PUNCT] TRICOLON
4o	⁞	[PUNCT] VERTICAL FOUR DOTS

0S	⁰	SUPERSCRIPT ZERO
4S	⁴	SUPERSCRIPT FOUR
5S	⁵	SUPERSCRIPT FIVE
6S	⁶	SUPERSCRIPT SIX
7S	⁷	SUPERSCRIPT SEVEN
8S	⁸	SUPERSCRIPT EIGHT
9S	⁹	SUPERSCRIPT NINE
+S	⁺	SUPERSCRIPT PLUS SIGN
-S	⁻	SUPERSCRIPT MINUS
=S	⁼	SUPERSCRIPT EQUALS SIGN
(S	⁽	SUPERSCRIPT LEFT PARENTHESIS
)S	⁾	SUPERSCRIPT RIGHT PARENTHESIS
nS	ⁿ	SUPERSCRIPT LATIN SMALL LETTER N

0s	₀	SUBSCRIPT ZERO
1s	₁	SUBSCRIPT ONE
2s	₂	SUBSCRIPT TWO
3s	₃	SUBSCRIPT THREE
4s	₄	SUBSCRIPT FOUR
5s	₅	SUBSCRIPT FIVE
6s	₆	SUBSCRIPT SIX
7s	₇	SUBSCRIPT SEVEN
8s	₈	SUBSCRIPT EIGHT
9s	₉	SUBSCRIPT NINE
+s	₊	SUBSCRIPT PLUS SIGN
-s	₋	SUBSCRIPT MINUS
=s	₌	SUBSCRIPT EQUALS SIGN
(s	₍	SUBSCRIPT LEFT PARENTHESIS
)s	₎	SUBSCRIPT RIGHT PARENTHESIS

Eu	₠	[CURR] EURO-CURRENCY SIGN
Cs	₡	[CURR] COLON SIGN
Cr	₢	[CURR] CRUZEIRO SIGN
Ff	₣	[CURR] FRENCH FRANC SIGN
Li	₤	[CURR] LIRA SIGN
Ms	₥	[CURR] MILL SIGN
Ns	₦	[CURR] NAIRA SIGN
Pt	₧	[CURR] PESETA SIGN
Rs	₨	[CURR] RUPEE SIGN
Ws	₩	[CURR] WON SIGN
Ss	₪	[CURR] NEW SHEQEL SIGN
Ds	₫	[CURR] DONG SIGN
Es	€	[CURR] EURO SIGN
Ks	₭	[CURR] KIP SIGN
Tg	₮	[CURR] TUGRIK SIGN
Dm	₯	[CURR] DRACHMA SIGN
Gp	₰	[CURR] GERMAN PENNY SYMBOL
Ps	₱	[CURR] PESO SIGN
Gs	₲	[CURR] GUARANI SIGN
As	₳	[CURR] AUSTRAL SIGN
Hr	₴	[CURR] HRYVNIA SIGN
Ce	₵	[CURR] CEDI SIGN
Ls	₶	[CURR] LIVRE TOURNOIS SIGN
Sp	₷	[CURR] SPESMILO SIGN
Tn	₸	[CURR] TENGE SIGN

oC	℃	[CHAR] DEGREE CELSIUS
co	℅	[CHAR] CARE OF
ec	ℇ	[CHAR] EULER CONSTANT
sp	℈	[CHAR] SCRUPLE
oF	℉	[CHAR] DEGREE FAHRENHEIT
sg	ℊ	[CHAR] SCRIPT SMALL G
sH	ℋ	[CHAR] SCRIPT CAPITAL H
lH	ℌ	[CHAR] BLACK-LETTER CAPITAL H
kH	ℍ	[CHAR] DOUBLE-STRUCK CAPITAL H
pc	ℎ	[CHAR] PLANCK CONSTANT
pp	ℏ	[CHAR] PLANCK CONSTANT OVER TWO PI
sI	ℐ	[CHAR] SCRIPT CAPITAL I
lI	ℑ	[CHAR] BLACK-LETTER CAPITAL I
sL	ℒ	[CHAR] SCRIPT CAPITAL L
sl	ℓ	[CHAR] SCRIPT SMALL L
ls	℔	[CHAR] L B BAR SYMBOL
kN	ℕ	[CHAR] DOUBLE-STRUCK CAPITAL N
N0	№	[CHAR] NUMERO SIGN
PO	℗	[CHAR] SOUND RECORDING COPYRIGHT
sP	℘	[CHAR] SCRIPT CAPITAL P
kP	ℙ	[CHAR] DOUBLE-STRUCK CAPITAL P
kQ	ℚ	[CHAR] DOUBLE-STRUCK CAPITAL Q
sR	ℛ	[CHAR] SCRIPT CAPITAL R
lR	ℜ	[CHAR] BLACK-LETTER CAPITAL R
kR	ℝ	[CHAR] DOUBLE-STRUCK CAPITAL R
Rx	℞	[CHAR] PRESCRIPTION TAKE
SM	℠	[CHAR] SERVICE MARK
TM	™	[CHAR] TRADE MARK SIGN
Om	Ω	[CHAR] OHM SIGN
iO	℧	[CHAR] INVERTED OHM SIGN
lZ	ℨ	[CHAR] BLACK-LETTER CAPITAL Z
kn	K	[CHAR] KELVIN SIGN
AO	Å	[CHAR] ANGSTROM SIGN
sB	ℬ	[CHAR] SCRIPT CAPITAL B
lC	ℭ	[CHAR] BLACK-LETTER CAPITAL C
sE	ℰ	[CHAR] SCRIPT CAPITAL E
sF	ℱ	[CHAR] SCRIPT CAPITAL F
sM	ℳ	[CHAR] SCRIPT CAPITAL M
kp	ℼ	[CHAR] DOUBLE-STRUCK SMALL PI
kg	ℽ	[CHAR] DOUBLE-STRUCK SMALL GAMMA
kG	ℾ	[CHAR] DOUBLE-STRUCK CAPITAL GAMMA
kI	ℿ	[CHAR] DOUBLE-STRUCK CAPITAL PI
kS	⅀	[CHAR] DOUBLE-STRUCK N-ARY SUMMATION
kD	ⅅ	[CHAR] DOUBLE-STRUCK ITALIC CAPITAL D
kd	ⅆ	[CHAR] DOUBLE-STRUCK ITALIC SMALL D
k@	ⅇ	[CHAR] DOUBLE-STRUCK ITALIC SMALL E
k(	ⅈ	[CHAR] DOUBLE-STRUCK ITALIC SMALL I
k)	ⅉ	[CHAR] DOUBLE-STRUCK ITALIC SMALL J

13	⅓	VULGAR FRACTION ONE THIRD
23	⅔	VULGAR FRACTION TWO THIRDS
15	⅕	VULGAR FRACTION ONE FIFTH
25	⅖	VULGAR FRACTION TWO FIFTHS
35	⅗	VULGAR FRACTION THREE FIFTHS
45	⅘	VULGAR FRACTION FOUR FIFTHS
16	⅙	VULGAR FRACTION ONE SIXTH
56	⅚	VULGAR FRACTION FIVE SIXTHS
18	⅛	VULGAR FRACTION ONE EIGHTH
38	⅜	VULGAR FRACTION THREE EIGHTHS
58	⅝	VULGAR FRACTION FIVE EIGHTHS
78	⅞	VULGAR FRACTION SEVEN EIGHTHS

1R	Ⅰ	ROMAN NUMERAL ONE
2R	Ⅱ	ROMAN NUMERAL TWO
3R	Ⅲ	ROMAN NUMERAL THREE
4R	Ⅳ	ROMAN NUMERAL FOUR
5R	Ⅴ	ROMAN NUMERAL FIVE
6R	Ⅵ	ROMAN NUMERAL SIX
7R	Ⅶ	ROMAN NUMERAL SEVEN
8R	Ⅷ	ROMAN NUMERAL EIGHT
9R	Ⅸ	ROMAN NUMERAL NINE
aR	Ⅹ	ROMAN NUMERAL TEN
bR	Ⅺ	ROMAN NUMERAL ELEVEN
cR	Ⅻ	ROMAN NUMERAL TWELVE

1r	ⅰ	SMALL ROMAN NUMERAL ONE
2r	ⅱ	SMALL ROMAN NUMERAL TWO
3r	ⅲ	SMALL ROMAN NUMERAL THREE
4r	ⅳ	SMALL ROMAN NUMERAL FOUR
5r	ⅴ	SMALL ROMAN NUMERAL FIVE
6r	ⅵ	SMALL ROMAN NUMERAL SIX
7r	ⅶ	SMALL ROMAN NUMERAL SEVEN
8r	ⅷ	SMALL ROMAN NUMERAL EIGHT
9r	ⅸ	SMALL ROMAN NUMERAL NINE
ar	ⅹ	SMALL ROMAN NUMERAL TEN
br	ⅺ	SMALL ROMAN NUMERAL ELEVEN
cr	ⅻ	SMALL ROMAN NUMERAL TWELVE

<-	←	LEFTWARDS ARROW
-!	↑	UPWARDS ARROW
->	→	RIGHTWARDS ARROW
-v	↓	DOWNWARDS ARROW
<>	↔	LEFT RIGHT ARROW
UD	↕	UP DOWN ARROW
<=	⇐	LEFTWARDS DOUBLE ARROW
=>	⇒	RIGHTWARDS DOUBLE ARROW
==	⇔	LEFT RIGHT DOUBLE ARROW

FA	∀	[MATH] FOR ALL
dP	∂	[MATH] PARTIAL DIFFERENTIAL
TE	∃	[MATH] THERE EXISTS
/0	∅	[MATH] EMPTY SET
DE	∆	[MATH] INCREMENT
NB	∇	[MATH] NABLA
(-	∈	[MATH] ELEMENT OF
-)	∋	[MATH] CONTAINS AS MEMBER
*P	∏	[MATH] N-ARY PRODUCT 
+Z	∑	[MATH] N-ARY SUMMATION 
-2	−	[MATH] MINUS SIGN
-+	∓	[MATH] MINUS-OR-PLUS SIGN
*-	∗	[MATH] ASTERISK OPERATOR
Ob	∘	[MATH] RING OPERATOR
Sb	∙	[MATH] BULLET OPERATOR
RT	√	[MATH] SQUARE ROOT
0(	∝	[MATH] PROPORTIONAL TO
00	∞	[MATH] INFINITY
-L	∟	[MATH] RIGHT ANGLE
-V	∠	[MATH] ANGLE
PP	∥	[MATH] PARALLEL TO
AN	∧	[MATH] LOGICAL AND
OR	∨	[MATH] LOGICAL OR
(U	∩	[MATH] INTERSECTION
)U	∪	[MATH] UNION
In	∫	[MATH] INTEGRAL
DI	∬	[MATH] DOUBLE INTEGRAL
Io	∮	[MATH] CONTOUR INTEGRAL
.:	∴	[MATH] THEREFORE
:.	∵	[MATH] BECAUSE
:R	∶	[MATH] RATIO
::	∷	[MATH] PROPORTION
?1	∼	[MATH] TILDE OPERATOR
CG	∾	[MATH] INVERTED LAZY S
?-	≃	[MATH] ASYMPTOTICALLY EQUAL TO
?=	≅	[MATH] APPROXIMATELY EQUAL TO
?2	≈	[MATH] ALMOST EQUAL TO
=?	≌	[MATH] ALL EQUAL TO
HI	≓	[MATH] IMAGE OF OR APPROXIMATELY EQUAL TO
!=	≠	[MATH] NOT EQUAL TO
=3	≡	[MATH] IDENTICAL TO
=<	≤	[MATH] LESS-THAN OR EQUAL TO
>=	≥	[MATH] GREATER-THAN OR EQUAL TO
<*	≪	[MATH] MUCH LESS-THAN
*>	≫	[MATH] MUCH GREATER-THAN
!<	≮	[MATH] NOT LESS-THAN
!>	≯	[MATH] NOT GREATER-THAN
(C	⊂	[MATH] SUBSET OF
)C	⊃	[MATH] SUPERSET OF
(_	⊆	[MATH] SUBSET OF OR EQUAL TO
)_	⊇	[MATH] SUPERSET OF OR EQUAL TO
0.	⊙	[MATH] CIRCLED DOT OPERATOR
0*	⊗	[MATH] CIRCLED cross OPERATOR
02	⊚	[MATH] CIRCLED RING OPERATOR
-T	⊥	[MATH] UP TACK
.P	⋅	[MATH] DOT OPERATOR
:3	⋮	[MATH] VERTICAL ELLIPSIS

d0	⌀	[TECH] DIAMETER SIGN
ea	⌁	[TECH] ELECTRICAL ARROW
Eh	⌂	[TECH] HOUSE
<7	⌈	[TECH] LEFT CEILING
>7	⌉	[TECH] RIGHT CEILING
7<	⌊	[TECH] LEFT FLOOR
7>	⌋	[TECH] RIGHT FLOOR
NI	⌐	[TECH] REVERSED NOT SIGN
(A	⌒	[TECH] ARC
TR	⌕	[TECH] TELEPHONE RECORDER
ps	⌘	[TECH] PLACE OF INTEREST SIGN
Iu	⌠	[TECH] TOP HALF INTEGRAL
Il	⌡	[TECH] BOTTOM HALF INTEGRAL
</	〈	[TECH] LEFT-POINTING ANGLE BRACKET
/>	〉	[TECH] RIGHT-POINTING ANGLE BRACKET
b@	⏣	[TECH] BENZENE RING WITH CIRCLE

Vs	␣	[CTRL] OPEN BOX

1h	⑀	OCR HOOK
3h	⑁	OCR CHAIR
2h	⑂	OCR FORK
4h	⑃	OCR INVERTED FORK
1j	⑆	OCR BRANCH BANK IDENTIFICATION
2j	⑇	OCR AMOUNT OF CHECK
3j	⑈	OCR DASH
4j	⑉	OCR CUSTOMER ACCOUNT NUMBER

1.	⒈	DIGIT ONE FULL STOP
2.	⒉	DIGIT TWO FULL STOP
3.	⒊	DIGIT THREE FULL STOP
4.	⒋	DIGIT FOUR FULL STOP
5.	⒌	DIGIT FIVE FULL STOP
6.	⒍	DIGIT SIX FULL STOP
7.	⒎	DIGIT SEVEN FULL STOP
8.	⒏	DIGIT EIGHT FULL STOP
9.	⒐	DIGIT NINE FULL STOP

hh	─	BOX DRAWINGS LIGHT HORIZONTAL
HH	━	BOX DRAWINGS HEAVY HORIZONTAL
vv	│	BOX DRAWINGS LIGHT VERTICAL
VV	┃	BOX DRAWINGS HEAVY VERTICAL
3-	┄	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
3_	┅	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
3!	┆	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
3/	┇	BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
4-	┈	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
4_	┉	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
4!	┊	BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
4/	┋	BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
dr	┌	BOX DRAWINGS LIGHT DOWN AND RIGHT
dR	┍	BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
Dr	┎	BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
DR	┏	BOX DRAWINGS HEAVY DOWN AND RIGHT
dl	┐	BOX DRAWINGS LIGHT DOWN AND LEFT
dL	┑	BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
Dl	┒	BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
LD	┓	BOX DRAWINGS HEAVY DOWN AND LEFT
ur	└	BOX DRAWINGS LIGHT UP AND RIGHT
uR	┕	BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
Ur	┖	BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
UR	┗	BOX DRAWINGS HEAVY UP AND RIGHT
ul	┘	BOX DRAWINGS LIGHT UP AND LEFT
uL	┙	BOX DRAWINGS UP LIGHT AND LEFT HEAVY
Ul	┚	BOX DRAWINGS UP HEAVY AND LEFT LIGHT
UL	┛	BOX DRAWINGS HEAVY UP AND LEFT
vr	├	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
vR	┝	BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
Vr	┠	BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
VR	┣	BOX DRAWINGS HEAVY VERTICAL AND RIGHT
vl	┤	BOX DRAWINGS LIGHT VERTICAL AND LEFT
vL	┥	BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
Vl	┨	BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
VL	┫	BOX DRAWINGS HEAVY VERTICAL AND LEFT
dh	┬	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
dH	┯	BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
Dh	┰	BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
DH	┳	BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
uh	┴	BOX DRAWINGS LIGHT UP AND HORIZONTAL
uH	┷	BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
Uh	┸	BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
UH	┻	BOX DRAWINGS HEAVY UP AND HORIZONTAL
vh	┼	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
vH	┿	BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
Vh	╂	BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
VH	╋	BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
FD	╱	BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
BD	╲	BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT

TB	▀	[BLOCK] UPPER HALF BLOCK
LB	▄	[BLOCK] LOWER HALF BLOCK
FB	█	[BLOCK] FULL BLOCK
lB	▌	[BLOCK] LEFT HALF BLOCK
RB	▐	[BLOCK] RIGHT HALF BLOCK
.S	░	[BLOCK] LIGHT SHADE
:S	▒	[BLOCK] MEDIUM SHADE
?S	▓	[BLOCK] DARK SHADE

fS	■	[SHAPE] BLACK SQUARE
OS	□	[SHAPE] WHITE SQUARE
RO	▢	[SHAPE] WHITE SQUARE WITH ROUNDED CORNERS
Rr	▣	[SHAPE] WHITE SQUARE CONTAINING BLACK SMALL SQUARE
RF	▤	[SHAPE] SQUARE WITH HORIZONTAL FILL
RY	▥	[SHAPE] SQUARE WITH VERTICAL FILL
RH	▦	[SHAPE] SQUARE WITH ORTHOGONAL CROSSHATCH FILL
RZ	▧	[SHAPE] SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
RK	▨	[SHAPE] SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
RX	▩	[SHAPE] SQUARE WITH DIAGONAL CROSSHATCH FILL
sq	▪	[SHAPE] BLACK SMALL SQUARE
SR	▬	[SHAPE] BLACK RECTANGLE
Or	▭	[SHAPE] WHITE RECTANGLE
UT	▲	[SHAPE] BLACK UP-POINTING TRIANGLE
uT	△	[SHAPE] WHITE UP-POINTING TRIANGLE
PR	▶	[SHAPE] BLACK RIGHT-POINTING TRIANGLE
Tr	▷	[SHAPE] WHITE RIGHT-POINTING TRIANGLE
Dt	▼	[SHAPE] BLACK DOWN-POINTING TRIANGLE
dT	▽	[SHAPE] WHITE DOWN-POINTING TRIANGLE
PL	◀	[SHAPE] BLACK LEFT-POINTING TRIANGLE
Tl	◁	[SHAPE] WHITE LEFT-POINTING TRIANGLE
